airline_id,carrier_code,airline_name
1,VX,Virgin America
2,OH,PSA Airlines
3,WN,Southwest Airlines
4,DL,Delta Air Lines
5,XE,ExpressJet Airlines
6,HA,Hawaiian Airlines
7,9E,Endeavor Air
8,YV,Mesa Airlines
9,NK,Spirit Airlines
10,EV,Atlantic Southeast Airlines (ASA)
11,FL,AirTran Airways
12,OO,SkyWest Airlines
13,B6,JetBlue Airways
14,NW,Northwest Airlines
15,G4,Allegiant Air
16,AS,Alaska Airlines
17,CO,Continental Airlines
18,F9,Frontier Airlines
19,YX,Midwest Airlines
20,MQ,Envoy Air (American Eagle)
21,US,US Airways
22,AA,American Airlines
23,UA,United Airlines
